Type Ligne;Identifiant de l'élément;Structure;Type de l'élément;Statut de l'élément;Nom base français;Nom base anglais;Nom base espagnol;Nom attribut français;Nom attribut anglais;Nom attribut espagnol;Nom frontière français;Nom frontière anglais;Nom frontière espagnol;Code de la catégorie;Tags français;Tags anglais;Tags espagnol;Unité français;Unité anglais;Unité espagnol;Contributeur;Autres Contributeurs;Programme;Url du programme;Source;Localisation géographique;Sous-localisation géographique français;Sous-localisation géographique anglais;Sous-localisation géographique espagnol;Date de création;Date de modification;Période de validité;Incertitude;Réglementations;Transparence;Qualité;Qualité TeR;Qualité GR;Qualité TiR;Qualité C;Qualité P;Qualité M;Commentaire français;Commentaire anglais;Commentaire espagnol;Type poste;Nom poste français;Nom poste anglais;Nom poste espagnol;Total poste non décomposé;CO2f;CH4f;CH4b;N2O;Code gaz supplémentaire 1;Valeur gaz supplémentaire 1;Code gaz supplémentaire 2;Valeur gaz supplémentaire 2;Code gaz supplémentaire 3;Valeur gaz supplémentaire 3;Code gaz supplémentaire 4;Valeur gaz supplémentaire 4;Code gaz supplémentaire 5;Valeur gaz supplémentaire 5;Autres GES;CO2b
Elément;20618;élément non décomposé;Facteur d'émission;Valide générique;1 requête de navigation web;1 web navigation;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;1,01E-03;;;;;;;;;;;;;;;;
Elément;20619;élément non décomposé;Facteur d'émission;Valide générique;1 requête internet;1 web request;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;6,65E-03;;;;;;;;;;;;;;;;
Elément;20617;élément non décomposé;Facteur d'émission;Valide générique;1 SPAM;1 email SPAM;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;3,00E-05;;;;;;;;;;;;;;;;
Elément;20625;élément non décomposé;Facteur d'émission;Valide générique;1 transaction logiciel classique;1 classic software operation;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;1,35E-03;;;;;;;;;;;;;;;;
Elément;20621;élément non décomposé;Facteur d'émission;Valide générique;1 tweet;1 tweet;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;2,00E-05;;;;;;;;;;;;;;;;
Elément;32989;élément non décomposé;Facteur d'émission;Valide générique;Abondance;Abondance cheese;;;from cow's milk;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages;Agribalyse,lait et produits laitiers,fromages à pâte pressée,Abondance;Abondance cheese,Agribalyse,milk and dairy products,pressed cheeses;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;6,27;;;;;;;;;;;;;;;;
Elément;33036;élément non décomposé;Facteur d'émission;Valide générique;Abricot;Apricot;;dénoyauté, cru;pitted, raw;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits crus,Agribalyse,fruits,légumes,Abricot;vegetables,legumes and oilseeds,raw fruit,Agribalyse,fruits,Apricot;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;0,862;;;;;;;;;;;;;;;;
Elément;33090;élément non décomposé;Facteur d'émission;Valide générique;Abricot;Apricot;;dénoyauté, sec;pitted, dried;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits séchés,Agribalyse,fruits,légumes,Abricot;vegetables,legumes and oilseeds,dried fruit,Agribalyse,fruits,Apricot;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;2,65;;;;;;;;;;;;;;;;
Elément;33027;élément non décomposé;Facteur d'émission;Valide générique;Abricot au sirop;Apricot;;appertisé, égoutté;in syrup, canned, drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits appertisés,Abricot au sirop,Agribalyse,fruits,légumes;legumes and oilseeds,canned fruits,Agribalyse,fruits,Apricot,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;1,22;;;;;;;;;;;;;;;;
Elément;33028;élément non décomposé;Facteur d'émission;Valide générique;Abricot au sirop;Apricot;;appertisé, non égoutté;in syrup, canned, not drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits appertisés,Abricot au sirop,Agribalyse,fruits,légumes;legumes and oilseeds,canned fruits,Agribalyse,fruits,Apricot,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;0,612;;;;;;;;;;;;;;;;
Elément;33025;élément non décomposé;Facteur d'émission;Valide générique;Abricot au sirop léger;Apricot;;appertisé, égoutté;canned in light syrup, drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits appertisés,Abricot au sirop léger,Agribalyse,fruits,légumes;legumes and oilseeds,canned fruits,Agribalyse,fruits,Apricot,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;1,22;;;;;;;;;;;;;;;;
Elément;33026;élément non décomposé;Facteur d'émission;Valide générique;Abricot au sirop léger;Apricot;;appertisé, non égoutté;canned in light syrup, not drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits;légumineuses et oléagineux,fruits appertisés,Abricot au sirop léger,Agribalyse,fruits,légumes;legumes and oilseeds,canned fruits,Agribalyse,fruits,Apricot,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;0,612;;;;;;;;;;;;;;;;
Elément;33950;élément non décomposé;Facteur d'émission;Valide générique;Accra de poisson;Caribbean-style fish fritters;;;fish acras;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, ?ufs, poissons > Produits à base de poissons et produits de la mer;poissons,Accra de poisson,Agribalyse,oeufs,viandes;eggs,Caribbean-style fish fritters,Agribalyse,meat,fish,;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;5,25;;;;;;;;;;;;;;;;
